2026-04-04 04:42:45,106 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 04:42:45,308 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 04:42:45,383 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 04:42:45,385 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 04:42:45,385 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 04:44:46,408 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 04:44:46,408 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 04:44:46,560 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 04:44:46,617 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 04:44:46,619 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 04:44:46,619 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 04:50:29,493 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 04:51:36,014 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 04:51:36,014 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 04:51:36,238 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 04:51:36,333 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 04:51:36,334 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 04:51:36,335 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 04:59:40,126 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 04:59:49,963 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 04:59:49,963 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 04:59:50,263 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 04:59:50,403 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 04:59:50,404 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 04:59:50,404 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
